Reference,Pin,Signal,CAD X mm,CAD Y mm (down-positive),Side
J1,1,MCU_5V,53.25,100.525,Bottom
J1,2,GND,55.75,100.525,Bottom
J1,3,LOGIC_3V3,58.25,100.525,Bottom
J1,4,ACT_3V2,60.75,100.525,Bottom
J2,1,GND,26.0,42.39,Top
J2,2,LOGIC_3V3,26.0,39.85,Top
J2,3,SPI_SCK,26.0,37.31,Top
J2,4,SPI_MOSI,26.0,34.77,Top
J2,5,TFT_RST_N,26.0,32.23,Top
J2,6,TFT_DC,26.0,29.69,Top
J2,7,TFT_CS,26.0,27.15,Top
J2,8,Net-(J2-BLK),26.0,24.61,Top
J3,1,LOGIC_3V3,75.5,52.0,Bottom
J3,2,SD_CS,75.5,49.46,Bottom
J3,3,SPI_MOSI,75.5,46.92,Bottom
J3,4,SPI_SCK,75.5,44.38,Bottom
J3,5,SPI_MISO,75.5,41.84,Bottom
J3,6,GND,75.5,39.3,Bottom
J4,1,ACT_3V2,17.0,100.55,Bottom
J4,2,Net-(D2-A),19.0,100.55,Bottom
J5,1,Net-(J5-+),37.0,100.55,Bottom
J5,2,Net-(J5--),39.0,100.55,Bottom
