Reference,Quantity,Value,MPN,Footprint,Side,Datasheet,Notes
C1,1,100u,ECEA1CKA101,KK_Main:KA_100u_Flat,back,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C2,1,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,back,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C3,1,100u,ECEA1CKA101,KK_Main:KA_100u_Flat,back,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C4,1,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,back,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C5,1,100u,ECEA1CKA101,KK_Main:KA_100u_Flat,back,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C6,1,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,back,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C7,1,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,back,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C8,1,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,back,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C9,1,10u,ECEA1CKA100,KK_Main:KA_10u_Flat,back,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C10,1,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,back,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C11,1,10u,ECEA1CKA100,KK_Main:KA_10u_Flat,back,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C12,1,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,back,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
