Board serial,Step,Test,Responsibility,Status,Setup / source / load / firmware,Measured evidence,Fault / action / retest,Initials / date
,M1,photograph and inspect before power,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M2,prove the plugs and unpowered wiring,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M3,verify main-board power first,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M4,isolate the ESP32 and firmware,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M5,buttons and the MCP23017 expander,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M6,display and backlight are separate tests,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M7,microSD storage,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M8,RGB mood LED,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M9,"IR receive first, then transmit",Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M10,vibration motor,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M11,audio: protect the speaker and the meter,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M12,"integration, intermittents and repeatability",Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,M5-SW1,"Up: ten presses, hold, release; raw state and debounced event",Supervised test fixture,NOT RUN,,,,
,M5-SW2,"Down: ten presses, hold, release; raw state and debounced event",Supervised test fixture,NOT RUN,,,,
,M5-SW3,"Left: ten presses, hold, release; raw state and debounced event",Supervised test fixture,NOT RUN,,,,
,M5-SW4,"Right: ten presses, hold, release; raw state and debounced event",Supervised test fixture,NOT RUN,,,,
,M5-SW5,"A: ten presses, hold, release; raw state and debounced event",Supervised test fixture,NOT RUN,,,,
,M5-SW6,"B: ten presses, hold, release; raw state and debounced event",Supervised test fixture,NOT RUN,,,,
,M5-SW7,"X: ten presses, hold, release; raw state and debounced event",Supervised test fixture,NOT RUN,,,,
,M5-SW8,"Y: ten presses, hold, release; raw state and debounced event",Supervised test fixture,NOT RUN,,,,
,M5-SW9,"Function: ten presses, hold, release; raw state and debounced event",Supervised test fixture,NOT RUN,,,,
,FUNCTION,Display colors/border/text/movement,Instructor-approved setup,NOT RUN,,,,
,FUNCTION,SD file checksum before and after restart,Instructor-approved setup,NOT RUN,,,,
,FUNCTION,RGB OFF/red/green/blue/reset,Instructor-approved setup,NOT RUN,,,,
,FUNCTION,IR known receive and external transmit confirmation,Instructor-approved setup,NOT RUN,,,,
,FUNCTION,Motor short pulse and rail dip,Instructor-approved setup,NOT RUN,,,,
,FUNCTION,Audio differential DC / low-level tone / pops,Instructor-approved setup,NOT RUN,,,,
,FUNCTION,Combined load and repeated cold starts,Instructor-approved setup,NOT RUN,,,,
