Board serial,Test point,Signal,Power / firmware / load state,Reference point used,Expected context,Status,Measured value and units,Instrument / range,Action / observations,Initials / date
,TP1,MCU_5V,,Main TP4 GND,Main 5 V input; nominal 5.0 V.,NOT RUN,,,,
,TP2,LOGIC_3V3,,Main TP4 GND,Logic supply; nominal 3.3 V.,NOT RUN,,,,
,TP3,ACT_3V2,,Main TP4 GND,Actuator supply; nominal 3.2 V. NOT power-board BAT_NEG.,NOT RUN,,,,
,TP4,GND,,Main TP4 GND,System ground reference.,NOT RUN,,,,
,TP6,GND,,Main TP4 GND,Alternate system ground.,NOT RUN,,,,
,TP8,GND,,Main TP4 GND,Alternate system ground.,NOT RUN,,,,
,TP9,I2C_SDA,,Main TP4 GND,I2C SDA; normally idle high with valid logic power.,NOT RUN,,,,
,TP10,I2C_SCL,,Main TP4 GND,I2C SCL; normally idle high with valid logic power.,NOT RUN,,,,
,TP11,BUTTON_INT_N,,Main TP4 GND,Active-low expander interrupt; requires firmware interrupt configuration.,NOT RUN,,,,
,TP12,BUTTON_FN_N,,Main TP4 GND,"Function button; released high, pressed low.",NOT RUN,,,,
,TP13,SPI_SCK,,Main TP4 GND,Shared SPI clock; activity only during transfers.,NOT RUN,,,,
,TP14,SPI_MOSI,,Main TP4 GND,Shared SPI MOSI; activity during transfers.,NOT RUN,,,,
,TP16,SD_CS,,Main TP4 GND,SD chip select; normally high when deselected.,NOT RUN,,,,
,TP17,TFT_CS,,Main TP4 GND,Display chip select; normally high when deselected.,NOT RUN,,,,
,TP18,TFT_DC,,Main TP4 GND,Display command/data selection; state depends on transfer.,NOT RUN,,,,
,TP19,TFT_RST_N,,Main TP4 GND,"Display reset, active-low; controlled by U1 GPB6.",NOT RUN,,,,
,TP20,BL_PWM,,Main TP4 GND,Backlight PWM before driver; meter shows only an average.,NOT RUN,,,,
,TP21,Net-(J2-BLK),,Main TP4 GND,Display BLK after switching/current-limiting path; load/PWM dependent.,NOT RUN,,,,
,TP22,AUDIO_PWM,,Main TP4 GND,Audio PWM before filter; inspect with scope and known test program.,NOT RUN,,,,
,TP23,Net-(C19-Pad1),,Main TP4 GND,"Second low-pass filter node, C19 pad 1/C20 input; waveform and DC bias depend on PWM. C19 is nonpolarized.",NOT RUN,,,,
,TP29,Net-(D2-A),,Main TP4 GND,"Switched motor return; near GND during ON, may float unloaded when OFF.",NOT RUN,,,,
,TP30,IR_TX,,Main TP4 GND,"IR transmit logic; valid carrier bursts, not continuous DC test.",NOT RUN,,,,
,TP31,IR_RX,,Main TP4 GND,"IR receive output; normally high, low-going demodulated bursts.",NOT RUN,,,,
,TP32,Net-(U2-VS),,Main TP4 GND,IR receiver filtered supply; normally close to LOGIC_3V3.,NOT RUN,,,,
,TP33,Net-(U1-RESET_N),,Main TP4 GND,Expander reset; should rise high after startup.,NOT RUN,,,,
