"bom_id","function","exact_part_or_requirement","documentation_status","local_documents","source_urls","remaining_issue"
"B001","CORE","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","PARTIAL_MODULE","datasheets/esp32-s3.pdf; datasheets/nologo-reference-schematic.png","https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf; https://wiki.nologo.tech/assets/img/esp32/esp32s3supermini/1.png","Chip datasheet and another supplier reference schematic available; exact Teyleten carrier schematic not found."
"B002","DISPLAY","B0DFWL25RB","PARTIAL_MODULE","datasheets/st7789v2-controller.pdf","https://www.waveshare.com/w/upload/c/c9/ST7789V2.pdf","Exact advertised controller datasheet archived; XIITIA panel/carrier drawing and backlight circuit not found."
"B003","GPIO","MCP23017-E/SP","DOCUMENT_FOUND","datasheets/mcp23017.pdf","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B004","CONTROLS","3101","DRAWING_FOUND","datasheets/soft-buttons.png","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","Adafruit-linked drawing available; height conflict with product-page dimensions remains."
"B005","AUDIO","TDA2822L-D08-T","DOCUMENT_FOUND","datasheets/tda2822.pdf","https://datasheet.lcsc.com/datasheet/pdf/8599ab4088134d37b4be13f0dc390034.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B006","SPEAKER","FS1511P08-H3.0 wired","DATASHEET_NOT_FOUND","","","Exact FUET model listing found, but no controlled datasheet/rating drawing. Do not substitute another 1511 model."
"B007","HAPTIC","LCM0827A3038F","DOCUMENT_FOUND","datasheets/motor.pdf","https://atta.szlcsc.com/upload/public/pdf/source/20251110/A6D51E996DED36DE7FC15C3D341F1E6E.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B009","IR_TX","TSAL6200","DOCUMENT_FOUND","datasheets/tsal6200.pdf","https://www.vishay.com/docs/81010/tsal6200.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B010","IR_RX","TSOP38238","DOCUMENT_FOUND","datasheets/tsop382.pdf","https://www.vishay.com/docs/82491/tsop382.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B011","NPN_DRIVER","KSP2222ABU","DOCUMENT_FOUND","datasheets/ksp2222a.pdf","https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B012","PNP_SWITCH","BC32725BU","DOCUMENT_FOUND","datasheets/bc327.pdf","https://www.onsemi.com/pub/Collateral/BC327-D.PDF","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B013","FLYBACK","1N5819-E3/54","DOCUMENT_FOUND","datasheets/1n5819.pdf","https://www.vishay.com/docs/88525/1n5817.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B014","MCU_SOCKET","PPTC091LFBN-RC","DOCUMENT_FOUND","datasheets/sullins-female-headers.pdf; datasheets/sullins-order-codes.pdf","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf; https://www.sullinscorp.com/images/AllRoHSParts.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B015","MCU_HEADER","9-pin male strips supplied with selected module","BUNDLED_NO_MPN","","","Supplier-pictured accessory, not separately identified by manufacturer part number."
"B016","GPIO_SOCKET","ED281DT","DOCUMENT_FOUND","datasheets/dip-sockets.pdf","https://www.on-shore.com/wp-content/uploads/EDXXXDT-1.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
