"gpio","manufacturer_header_pin","signal","connection_status"
"TBD","TBD","I2C_SDA","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","I2C_SCL","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","BUTTON_INT_N","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","BUTTON_FN_N","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","EXP_RESET_N","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","IR_TX","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","IR_RX","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","TFT_CS","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","TFT_MOSI","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","TFT_SCK","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","TFT_DC","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","TFT_RESET","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","TFT_BACKLIGHT_CONTROL","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","AUDIO_PWM","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","MOTOR_CONTROL","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","BATTERY_ADC","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","POWER_STATUS","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","AUDIO_ENABLE","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","SD_MISO","UNASSIGNED; SuperMini pin budget reopened"
"TBD","TBD","SD_CS","UNASSIGNED; SuperMini pin budget reopened"
