"reference","exact_part","pin_or_logical_contact","net"
"MOD1","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","LOGICAL_3V3","LOGIC_3V3"
"MOD1","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","LOGICAL_GND","GND"
"MOD1","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","LOGICAL_I2C_SDA","I2C_SDA"
"MOD1","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","LOGICAL_I2C_SCL","I2C_SCL"
"MOD1","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","LOGICAL_BUTTON_INT_N","BUTTON_INT_N"
"MOD1","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","LOGICAL_BUTTON_FN_N","BUTTON_FN_N"
"MOD1","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","LOGICAL_EXP_RESET_N","EXP_RESET_N"
"MOD1","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","LOGICAL_IR_TX","IR_TX"
"MOD1","ESP32-S3 SuperMini / original Amazon B0D47HBFDY","LOGICAL_IR_RX","IR_RX"
"U1","MCP23017-E/SP","1","BTN_A_N"
"U1","MCP23017-E/SP","2","BTN_B_N"
"U1","MCP23017-E/SP","3","BTN_X_N"
"U1","MCP23017-E/SP","4","BTN_Y_N"
"U1","MCP23017-E/SP","5","NC"
"U1","MCP23017-E/SP","6","NC"
"U1","MCP23017-E/SP","7","NC"
"U1","MCP23017-E/SP","8","NC"
"U1","MCP23017-E/SP","9","LOGIC_3V3"
"U1","MCP23017-E/SP","10","GND"
"U1","MCP23017-E/SP","11","NC"
"U1","MCP23017-E/SP","12","I2C_SCL"
"U1","MCP23017-E/SP","13","I2C_SDA"
"U1","MCP23017-E/SP","14","NC"
"U1","MCP23017-E/SP","15","GND"
"U1","MCP23017-E/SP","16","GND"
"U1","MCP23017-E/SP","17","GND"
"U1","MCP23017-E/SP","18","EXP_RESET_N"
"U1","MCP23017-E/SP","19","NC"
"U1","MCP23017-E/SP","20","BUTTON_INT_N"
"U1","MCP23017-E/SP","21","BTN_UP_N"
"U1","MCP23017-E/SP","22","BTN_DOWN_N"
"U1","MCP23017-E/SP","23","BTN_LEFT_N"
"U1","MCP23017-E/SP","24","BTN_RIGHT_N"
"U1","MCP23017-E/SP","25","NC"
"U1","MCP23017-E/SP","26","NC"
"U1","MCP23017-E/SP","27","NC"
"U1","MCP23017-E/SP","28","NC"
"R1","MFR-25FBF52-4K7","1","LOGIC_3V3"
"R1","MFR-25FBF52-4K7","2","I2C_SDA"
"R2","MFR-25FBF52-4K7","1","LOGIC_3V3"
"R2","MFR-25FBF52-4K7","2","I2C_SCL"
"R3","MFR-25FBF52-10K","1","LOGIC_3V3"
"R3","MFR-25FBF52-10K","2","EXP_RESET_N"
"R4","MFR-25FBF52-10K","1","LOGIC_3V3"
"R4","MFR-25FBF52-10K","2","BUTTON_INT_N"
"SW1","3101","A","BTN_UP_N"
"SW1","3101","B","GND"
"R5","MFR-25FBF52-10K","1","LOGIC_3V3"
"R5","MFR-25FBF52-10K","2","BTN_UP_N"
"SW2","3101","A","BTN_DOWN_N"
"SW2","3101","B","GND"
"R6","MFR-25FBF52-10K","1","LOGIC_3V3"
"R6","MFR-25FBF52-10K","2","BTN_DOWN_N"
"SW3","3101","A","BTN_LEFT_N"
"SW3","3101","B","GND"
"R7","MFR-25FBF52-10K","1","LOGIC_3V3"
"R7","MFR-25FBF52-10K","2","BTN_LEFT_N"
"SW4","3101","A","BTN_RIGHT_N"
"SW4","3101","B","GND"
"R8","MFR-25FBF52-10K","1","LOGIC_3V3"
"R8","MFR-25FBF52-10K","2","BTN_RIGHT_N"
"SW5","3101","A","BTN_A_N"
"SW5","3101","B","GND"
"R9","MFR-25FBF52-10K","1","LOGIC_3V3"
"R9","MFR-25FBF52-10K","2","BTN_A_N"
"SW6","3101","A","BTN_B_N"
"SW6","3101","B","GND"
"R10","MFR-25FBF52-10K","1","LOGIC_3V3"
"R10","MFR-25FBF52-10K","2","BTN_B_N"
"SW7","3101","A","BTN_X_N"
"SW7","3101","B","GND"
"R11","MFR-25FBF52-10K","1","LOGIC_3V3"
"R11","MFR-25FBF52-10K","2","BTN_X_N"
"SW8","3101","A","BTN_Y_N"
"SW8","3101","B","GND"
"R12","MFR-25FBF52-10K","1","LOGIC_3V3"
"R12","MFR-25FBF52-10K","2","BTN_Y_N"
"SW9","3101","A","BUTTON_FN_N"
"SW9","3101","B","GND"
"R13","MFR-25FBF52-10K","1","LOGIC_3V3"
"R13","MFR-25FBF52-10K","2","BUTTON_FN_N"
"C1","C315C104K5R5TA","1","LOGIC_3V3"
"C1","C315C104K5R5TA","2","GND"
"C2","UVR1C100MDD","1","LOGIC_3V3"
"C2","UVR1C100MDD","2","GND"
"R14","MFR-25FBF52-100R","1","LOGIC_3V3"
"R14","MFR-25FBF52-100R","2","IR_LED_A"
"D1","TSAL6200","A","IR_LED_A"
"D1","TSAL6200","K","IR_LED_K"
"Q1","KSP2222ABU","1","GND"
"Q1","KSP2222ABU","2","IR_BASE"
"Q1","KSP2222ABU","3","IR_LED_K"
"R15","MFR-25FBF52-220R","1","IR_TX"
"R15","MFR-25FBF52-220R","2","IR_BASE"
"R16","MFR-25FBF52-100K","1","IR_BASE"
"R16","MFR-25FBF52-100K","2","GND"
"R17","MFR-25FBF52-100R","1","LOGIC_3V3"
"R17","MFR-25FBF52-100R","2","IR_RX_3V3"
"U2","TSOP38238","1","IR_RX"
"U2","TSOP38238","2","GND"
"U2","TSOP38238","3","IR_RX_3V3"
"C3","C315C104K5R5TA","1","IR_RX_3V3"
"C3","C315C104K5R5TA","2","GND"
"C4","UVR1C100MDD","1","IR_RX_3V3"
"C4","UVR1C100MDD","2","GND"
"C5","C315C104K5R5TA","1","LOGIC_3V3"
"C5","C315C104K5R5TA","2","GND"
