Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100u","KA_100u_Flat",56.250000,-94.550000,0.000000,bottom
"C2","100n","KEMET_C315_P2p54",63.500000,-90.270000,90.000000,bottom
"C3","100u","KA_100u_Flat",65.450000,-98.250000,-90.000000,bottom
"C4","100n","KEMET_C315_P2p54",63.230000,-93.500000,0.000000,bottom
"C5","100u","KA_100u_Flat",51.550000,-93.250000,90.000000,bottom
"C6","100n","KEMET_C315_P2p54",67.500000,-90.270000,90.000000,bottom
"C7","100n","KEMET_C315_P2p54",25.000000,-45.730000,-90.000000,bottom
"C8","100n","KEMET_C315_P2p54",10.000000,-33.730000,-90.000000,bottom
"C9","10u","KA_10u_Flat",10.270000,-39.450000,180.000000,bottom
"C10","100n","KEMET_C315_P2p54",72.270000,-52.000000,180.000000,bottom
"C11","10u","KA_10u_Flat",76.950000,-56.730000,-90.000000,bottom
"C12","100n","KEMET_C315_P2p54",29.230000,-39.500000,0.000000,bottom
"C13","100u","KA_100u_Flat",19.050000,-60.750000,90.000000,bottom
"C14","100n","KEMET_C315_P2p54",33.230000,-7.500000,0.000000,bottom
"C15","10u","KA_10u_Flat",32.270000,-11.450000,180.000000,bottom
"C16","100n","KEMET_C315_P2p54",16.730000,-95.000000,0.000000,bottom
"C17","100u","KA_100u_Flat",28.250000,-100.550000,0.000000,bottom
"C18","10n","KEMET_C315_P2p54",61.500000,-48.770000,90.000000,bottom
"C19","10n","KEMET_C315_P2p54",55.500000,-63.770000,90.000000,bottom
"C20","1u","KEMET_C315_P2p54",48.000000,-69.270000,90.000000,bottom
"C21","10u","KA_10u_Flat",57.770000,-46.950000,180.000000,bottom
"C22","10n","KEMET_C315_P2p54",55.230000,-43.000000,0.000000,bottom
"C23","100n","KEMET_C315_P2p54",44.000000,-54.230000,-90.000000,bottom
"C24","100n","KEMET_C315_P2p54",40.500000,-41.770000,90.000000,bottom
"C25","100u","KA_100u_Flat",39.250000,-50.450000,180.000000,bottom
"C26","100n","KEMET_C315_P2p54",40.500000,-47.270000,90.000000,bottom
"C27","100n","KEMET_C315_P2p54",85.230000,-9.500000,0.000000,bottom
"D1","TSAL6200","TSAL6200_C5_EdgeFormed",17.725000,-8.000000,0.000000,bottom
"D2","1N5819","1N5819_DO41",23.500000,-91.920000,-90.000000,bottom
"J1","SYS_IN / JST-XH","JST_XH_B4B_4",53.250000,-100.525000,0.000000,bottom
"J3","GODIYMODULES SD","Sullins_PPTC061_LFB",75.500000,-52.000000,0.000000,bottom
"J4","LCM0827A3038F motor","JST_PH_B2B_2",17.000000,-100.550000,0.000000,bottom
"J5","8 ohm speaker","JST_PH_B2B_2",37.000000,-100.550000,0.000000,bottom
"MOD1","ESP32-S3 SuperMini","ESP32-S3-SuperMini",48.000000,-17.400000,0.000000,bottom
"Q1","KSP2222ABU","TO92_Flat_P2p54",8.960000,-8.250000,0.000000,bottom
"Q2","KSP2222ABU","TO92_Flat_P2p54",2.960000,-65.250000,0.000000,bottom
"Q3","BC32725BU","TO92_Flat_P2p54",32.960000,-76.250000,0.000000,bottom
"Q4","TN0702N3-G","TO92_Flat_P2p54",13.750000,-90.460000,-90.000000,bottom
"Q5","TN0702N3-G","TO92_Flat_P2p54",64.960000,-39.750000,0.000000,bottom
"Q6","LP0701N3-G","TO92_Flat_P2p54",37.040000,-35.750000,180.000000,bottom
"R1","4.7k","MFR25_10p16",36.000000,-24.080000,90.000000,bottom
"R2","4.7k","MFR25_10p16",3.920000,-80.500000,0.000000,bottom
"R3","10k","MFR25_10p16",88.000000,-34.580000,90.000000,bottom
"R4","10k","MFR25_10p16",84.000000,-86.080000,90.000000,bottom
"R5","10k","MFR25_10p16",88.000000,-76.080000,90.000000,bottom
"R6","10k","MFR25_10p16",85.000000,-99.080000,90.000000,bottom
"R7","10k","MFR25_10p16",88.500000,-89.080000,90.000000,bottom
"R8","10k","MFR25_10p16",92.000000,-79.580000,90.000000,bottom
"R9","10k","MFR25_10p16",92.000000,-92.580000,90.000000,bottom
"R10","10k","MFR25_10p16",77.000000,-86.080000,90.000000,bottom
"R11","10k","MFR25_10p16",4.000000,-60.580000,90.000000,bottom
"R12","10k","MFR25_10p16",4.000000,-37.420000,-90.000000,bottom
"R13","10k","MFR25_10p16",19.920000,-86.500000,0.000000,bottom
"R14","10k","MFR25_10p16",69.080000,-23.000000,180.000000,bottom
"R15","10k","MFR25_10p16",60.000000,-20.080000,90.000000,bottom
"R16","10k","MFR25_10p16",17.000000,-86.080000,90.000000,bottom
"R17","10k","MFR25_10p16",81.580000,-34.500000,180.000000,bottom
"R18","10k","MFR25_10p16",84.500000,-24.420000,-90.000000,bottom
"R19","4.7k","MFR25_10p16",14.080000,-77.000000,180.000000,bottom
"R20","100k","MFR25_10p16",3.920000,-84.000000,0.000000,bottom
"R21","220","MFR25_10p16",78.580000,-93.500000,180.000000,bottom
"R22","100k","MFR25_10p16",80.500000,-75.920000,-90.000000,bottom
"R23","100","MFR25_10p16",87.080000,-63.000000,180.000000,bottom
"R24","100","MFR25_10p16",5.500000,-18.080000,90.000000,bottom
"R25","1k","MFR25_10p16",10.000000,-30.080000,90.000000,bottom
"R26","100k","MFR25_10p16",6.500000,-20.920000,-90.000000,bottom
"R27","100","MFR25_10p16",26.000000,-20.080000,90.000000,bottom
"R28","100","MFR25_10p16",70.920000,-89.000000,0.000000,bottom
"R29","100k","MFR25_10p16",81.500000,-91.920000,-90.000000,bottom
"R30","1k","MFR25_10p16",59.500000,-25.920000,-90.000000,bottom
"R31","1k","MFR25_10p16",61.500000,-51.420000,-90.000000,bottom
"R32","100k","MFR25_10p16",48.000000,-64.080000,90.000000,bottom
"R33","1k","MFR25_10p16",51.500000,-53.920000,-90.000000,bottom
"R34","4.7","MFR25_10p16",44.000000,-59.420000,-90.000000,bottom
"R35","4.7","MFR25_10p16",40.420000,-36.000000,0.000000,bottom
"R36","1k","MFR25_10p16",65.000000,-26.420000,-90.000000,bottom
"R37","100k","MFR25_10p16",68.500000,-36.580000,90.000000,bottom
"R38","1k","MFR25_10p16",39.920000,-32.500000,0.000000,bottom
"R39","100k","MFR25_10p16",32.000000,-53.080000,90.000000,bottom
"R40","1.8k","MFR25_10p16",79.080000,-5.500000,180.000000,bottom
"R41","10k","MFR25_10p16",74.000000,-30.080000,90.000000,bottom
"R42","100k","MFR25_10p16",91.500000,-17.420000,-90.000000,bottom
"R43","100k","MFR25_10p16",91.500000,-56.420000,-90.000000,bottom
"U1","MCP23017-E/SP","ED281DT_DIP28_Socket",13.690000,-53.510000,0.000000,bottom
"U2","TSOP38238","TSOP38238_Vertical",25.450000,-6.500000,0.000000,bottom
"U3","TDA2822L-D08-T","ED08DT_DIP8_Socket",44.190000,-50.810000,0.000000,bottom
"U4","TLC5916IN","ED16DT_DIP16_Socket",81.890000,-16.810000,90.000000,bottom
"D3","RGB mood / common anode","RGB_CA_5mm_Socketed",80.000000,-30.810000,90.000000,top
"J2","XIITIA TFT header","Sullins_PPTC081_LFB",26.000000,-42.390000,180.000000,top
"SW1","UP","Adafruit3101_ABCD",26.000000,-60.000000,0.000000,top
"SW2","DOWN","Adafruit3101_ABCD",26.000000,-80.000000,0.000000,top
"SW3","LEFT","Adafruit3101_ABCD",15.000000,-70.000000,0.000000,top
"SW4","RIGHT","Adafruit3101_ABCD",37.000000,-70.000000,0.000000,top
"SW5","A","Adafruit3101_ABCD",81.000000,-70.000000,0.000000,top
"SW6","B","Adafruit3101_ABCD",70.000000,-80.000000,0.000000,top
"SW7","X","Adafruit3101_ABCD",70.000000,-60.000000,0.000000,top
"SW8","Y","Adafruit3101_ABCD",59.000000,-70.000000,0.000000,top
"SW9","FN","Adafruit3101_ABCD",48.000000,-81.500000,0.000000,top
