"Reference","MPN","Footprint","Status","Source","Evidence","Assembly note"
"J1","B4B-XH-A(LF)(SN)","KK_Main:JST_XH_B4B_4","DATASHEET_DIMENSIONS_CHECKED","Connector_JST/JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","JST B4B-XH-A(LF)(SN) eXH drawing: vertical four-pin, 2.50 mm pitch",""
"C1","UVR1C101MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"C2","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"C3","UVR1C101MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"C4","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"C5","UVR1C101MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"C6","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"MOD1","Teyleten B0D47HBFDY","KK_Main:ESP32-S3-SuperMini","USER_SUPPLIED_FOOTPRINT","User-supplied footprint; see pcb/SUPERMINI_IMPORT.json","User supplied ESP32-S3-SuperMini.kicad_mod. Original geometry preserved: 15.24 mm rows, nominal 2.54 mm pitch, 1 mm drills, 1.508 mm pads.","Schematic pins use supplied GPIO/power pad names. GPIO13 y=-2.50 mm retained (0.04 mm off nominal pitch). Physical fit/stack not certified."
"J2","PPTC081LFBN-RC","KK_Main:Sullins_PPTC081_LFB","DATASHEET_DIMENSIONS_CHECKED","custom","Sullins PPTC081LFBN-RC: one row 2.54 mm pitch; 8.5 mm housing height. Pin1 marked square. Module orientation still requires sample check.","Project-local drawing. See footprint audit for prototype holds."
"J3","PPTC061LFBN-RC","KK_Main:Sullins_PPTC061_LFB","DATASHEET_DIMENSIONS_CHECKED","custom","Sullins PPTC061LFBN-RC: one row 2.54 mm pitch; 8.5 mm housing height. Pin1 marked square. Module orientation still requires sample check.","Project-local drawing. See footprint audit for prototype holds."
