Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",33.500000,-93.500000,-90.000000,top
"C2","100n","C_0603_1608Metric",40.000000,-90.500000,180.000000,top
"C3","4.7u","C_0805_2012Metric",22.000000,-100.500000,180.000000,top
"C4","10u","C_0805_2012Metric",26.500000,-95.500000,-90.000000,top
"C5","22u","C_0805_2012Metric",19.500000,-97.000000,-90.000000,top
"C6","100n","C_0603_1608Metric",39.000000,-71.250000,180.000000,top
"C7","10n","C_0603_1608Metric",17.500000,-94.000000,-90.000000,top
"C8","22u","C_0805_2012Metric",12.250000,-93.750000,-90.000000,top
"C9","100n","C_0603_1608Metric",18.250000,-91.500000,180.000000,top
"C20","10u","C_0805_2012Metric",47.250000,-81.500000,0.000000,top
"C21","10u","C_0805_2012Metric",47.250000,-84.000000,0.000000,top
"C22","22u","C_0805_2012Metric",39.600000,-83.500000,-90.000000,top
"C23","22u","C_0805_2012Metric",37.400000,-83.500000,-90.000000,top
"C24","22u","C_0805_2012Metric",35.200000,-83.500000,-90.000000,top
"C25","100n","C_0603_1608Metric",43.000000,-77.500000,0.000000,top
"C28","10p","C_0603_1608Metric",39.500000,-79.000000,90.000000,top
"C30","10u","C_0805_2012Metric",32.250000,-81.500000,0.000000,top
"C31","10u","C_0805_2012Metric",32.250000,-84.000000,0.000000,top
"C32","22u","C_0805_2012Metric",24.600000,-83.500000,-90.000000,top
"C33","22u","C_0805_2012Metric",22.400000,-83.500000,-90.000000,top
"C34","22u","C_0805_2012Metric",20.200000,-83.500000,-90.000000,top
"C35","100n","C_0603_1608Metric",28.000000,-77.500000,0.000000,top
"C38","10p","C_0603_1608Metric",24.500000,-79.000000,90.000000,top
"C40","10u","C_0805_2012Metric",17.250000,-81.500000,0.000000,top
"C41","10u","C_0805_2012Metric",17.250000,-84.000000,0.000000,top
"C42","22u","C_0805_2012Metric",9.600000,-83.500000,-90.000000,top
"C43","22u","C_0805_2012Metric",7.400000,-83.500000,-90.000000,top
"C44","22u","C_0805_2012Metric",5.200000,-83.500000,-90.000000,top
"C45","100n","C_0603_1608Metric",13.000000,-77.500000,0.000000,top
"C48","10p","C_0603_1608Metric",9.500000,-79.000000,90.000000,top
"C51","100n","C_0603_1608Metric",24.000000,-68.000000,180.000000,top
"C52","10n","C_0603_1608Metric",24.000000,-66.250000,180.000000,top
"C53","10n","C_0603_1608Metric",26.500000,-67.500000,-90.000000,top
"C54","10n","C_0603_1608Metric",21.500000,-67.500000,-90.000000,top
"C60","100n","C_0603_1608Metric",6.250000,-74.000000,-90.000000,top
"C70","100n","C_0603_1608Metric",28.500000,-93.500000,-90.000000,top
"C71","1u","C_0603_1608Metric",26.000000,-92.750000,180.000000,top
"C72","1u","C_0603_1608Metric",31.000000,-94.250000,180.000000,top
"D1","SMAJ5.0A","D_SMA",47.250000,-93.000000,-90.000000,top
"F1","4A FAST","Fuse_1206_3216Metric",38.250000,-73.500000,180.000000,top
"J1","USB-C CHARGE ONLY","USB_C_HCTL",39.000000,-100.660000,0.000000,top
