Reference,Value,MPN,Footprint,X mm,Y mm,Rotation deg,Native PCB side
C1,1u,GRM188R71C105KA12D,KK_Power:C_0603_1608Metric,17.5,10.5,90.0,Top
C2,100n,GRM188R71C104KA01D,KK_Power:C_0603_1608Metric,11.0,13.5,0.0,Top
C20,10u,GRM21BR61C106KE15L,KK_Power:C_0805_2012Metric,3.75,22.5,180.0,Top
C21,10u,GRM21BR61C106KE15L,KK_Power:C_0805_2012Metric,3.75,20.0,180.0,Top
C22,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,11.4,20.5,90.0,Top
C23,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,13.6,20.5,90.0,Top
C24,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,15.8,20.5,90.0,Top
C25,100n,GRM188R71C104KA01D,KK_Power:C_0603_1608Metric,8.0,26.5,180.0,Top
C28,10p,GRM1885C1H100JA01D,KK_Power:C_0603_1608Metric,11.5,25.0,-90.0,Top
C3,4.7u,GRM21BR71C475KA73L,KK_Power:C_0805_2012Metric,29.0,3.5,0.0,Top
C30,10u,GRM21BR61C106KE15L,KK_Power:C_0805_2012Metric,18.75,22.5,180.0,Top
C31,10u,GRM21BR61C106KE15L,KK_Power:C_0805_2012Metric,18.75,20.0,180.0,Top
C32,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,26.4,20.5,90.0,Top
C33,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,28.6,20.5,90.0,Top
C34,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,30.8,20.5,90.0,Top
C35,100n,GRM188R71C104KA01D,KK_Power:C_0603_1608Metric,23.0,26.5,180.0,Top
C38,10p,GRM1885C1H100JA01D,KK_Power:C_0603_1608Metric,26.5,25.0,-90.0,Top
C4,10u,GRM21BR61C106KE15L,KK_Power:C_0805_2012Metric,24.5,8.5,90.0,Top
C40,10u,GRM21BR61C106KE15L,KK_Power:C_0805_2012Metric,33.75,22.5,180.0,Top
