Board serial,Step,Test,Responsibility,Status,Setup / source / load / firmware,Measured evidence,Fault / action / retest,Initials / date
,P1,unpowered incoming inspection,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,P2,verify the connectors and fuse without power,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,P3,"battery-simulator startup, USB disconnected",Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,P4,qualify the outputs with no main attached,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,P5,controlled loads and low-voltage behavior,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,P6,USB input and current selection,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,P7,charging and the temperature sensor,Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,P8,"reverse feed, sequencing and final integration",Instructor for live power / probes; supervised students where permitted,NOT RUN,,,,
,QUALIFICATION,Isolation / earth path reviewed,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,Default USB mode,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,USB-C 1.5 A mode,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,USB-C 3 A mode,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,Both USB-C plug orientations,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,Charge current / termination / recharge,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,NTC open / short / temperature response on emulator,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,Protection fault testing with approved fixture,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,Startup and shutdown sequencing,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,USB / GPIO backfeed qualification,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,One-rail loads then approved combined loads,Qualified technician only,NOT RUN,,,,
,QUALIFICATION,Low-voltage cutoff / recovery on emulator,Qualified technician only,NOT RUN,,,,
