Reference,Pin,Signal,CAD X mm,CAD Y mm (down-positive),Side
J1,,,36.11,98.055,Top
J1,,,41.89,98.055,Top
J1,A1,GND,35.8,96.915,Top
J1,A12,GND,42.2,96.915,Top
J1,A4,VBUS,36.6,96.915,Top
J1,A5,CC1,37.75,96.915,Top
J1,A6,unconnected-(J1-D+-PadA6),38.75,96.915,Top
J1,A7,unconnected-(J1-D--PadA7),39.25,96.915,Top
J1,A8,unconnected-(J1-SBU1-PadA8),40.25,96.915,Top
J1,A9,VBUS,41.4,96.915,Top
J1,B1,GND,42.2,96.915,Top
J1,B12,GND,35.8,96.915,Top
J1,B4,VBUS,41.4,96.915,Top
J1,B5,CC2,40.75,96.915,Top
J1,B6,unconnected-(J1-D+-PadB6),39.75,96.915,Top
J1,B7,unconnected-(J1-D--PadB7),38.25,96.915,Top
J1,B8,unconnected-(J1-SBU2-PadB8),37.25,96.915,Top
J1,B9,VBUS,36.6,96.915,Top
J1,S1,GND,34.68,97.555,Top
J1,S1,GND,34.68,101.735,Top
J1,S1,GND,43.32,97.555,Top
J1,S1,GND,43.32,101.735,Top
J2,1,CELL_PLUS,38.52,60.95,Top
J2,2,BAT_NEG,42.48,60.95,Top
J3,1,MCU_5V,11.75,59.475,Top
J3,2,GND,14.25,59.475,Top
J3,3,LOGIC_3V3,16.75,59.475,Top
J3,4,ACT_3V2,19.25,59.475,Top
J4,1,NTC,28.0,59.45,Top
J4,2,GND,30.0,59.45,Top
