Reference,Pad,CAD X mm,CAD Y mm (down-positive),Drill mm,Process
C1,2,33.700001,94.400001,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C2,1,40.8,90.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C2,1,40.9,90.3,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C2,2,38.900001,90.700001,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C3,1,22.65,100.5,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C3,1,23.25,100.5,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C3,2,21.200001,99.900001,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C4,1,26.2,94.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C4,1,26.8,94.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C5,1,19.2,96.05,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C5,1,19.8,96.05,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C52,1,24.9,66.6,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C71,2,25.000001,92.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
D1,1,46.75,91.0,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
D1,1,47.75,91.0,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
D1,2,46.75,95.0,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
D1,2,47.75,95.0,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,1,39.35,73.2,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,1,39.35,73.8,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,1,39.950001,73.2,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,1,39.950001,73.8,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,2,36.55,73.2,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,2,36.55,73.8,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,2,37.15,73.2,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,2,37.15,73.8,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
Q1,1,46.455,69.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q1,1,47.055,69.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q1,3,46.455,67.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q1,3,47.055,67.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q2,1,41.455,69.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q2,1,42.055001,69.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q2,3,41.455,67.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q2,3,42.055001,67.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q3,1,36.455,69.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q3,1,37.055001,69.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q3,3,36.455,67.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q3,3,37.055001,67.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q5,1,11.7,98.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R1,2,35.5,92.9,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R10,1,16.4,89.9,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R14,2,13.2,98.3,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R2,1,36.7,94.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R52,1,28.4,67.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R62,2,13.400001,73.000001,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R66,2,13.675,74.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R70,1,31.8,92.6,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R74,2,16.0,101.7,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U1,12,21.6,97.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U1,17,22.6,97.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U1,17,23.4,97.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U11,4,7.4,67.3,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,,9.4,72.6,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,,9.4,73.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,,10.6,72.6,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,,10.6,73.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,21,9.4,72.6,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,21,9.4,73.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,21,10.6,72.6,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,21,10.6,73.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U14,3,32.6,95.9,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U2,2,44.0,72.7,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U4,9,15.0,93.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U5,11,42.6,81.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U5,11,43.4,81.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U5,3,44.4,80.9,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U6,11,27.6,81.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U6,11,28.4,81.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U6,3,29.6,80.9,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U7,11,12.6,81.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U7,11,13.4,81.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U8,2,30.000001,71.100001,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U9,1,25.1,71.9,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U9,5,22.8,70.8,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
