Reference,Pin,Signal,CAD X mm,CAD Y mm (down-positive),Side
J1,,,9.11,5.945,Top
J1,,,14.89,5.945,Top
J1,A1,GND,15.2,7.085,Top
J1,A12,GND,8.8,7.085,Top
J1,A4,VBUS,14.4,7.085,Top
J1,A5,CC1,13.25,7.085,Top
J1,A6,unconnected-(J1-D+-PadA6),12.25,7.085,Top
J1,A7,unconnected-(J1-D--PadA7),11.75,7.085,Top
J1,A8,unconnected-(J1-SBU1-PadA8),10.75,7.085,Top
J1,A9,VBUS,9.6,7.085,Top
J1,B1,GND,8.8,7.085,Top
J1,B12,GND,15.2,7.085,Top
J1,B4,VBUS,9.6,7.085,Top
J1,B5,CC2,10.25,7.085,Top
J1,B6,unconnected-(J1-D+-PadB6),11.25,7.085,Top
J1,B7,unconnected-(J1-D--PadB7),12.75,7.085,Top
J1,B8,unconnected-(J1-SBU2-PadB8),13.75,7.085,Top
J1,B9,VBUS,14.4,7.085,Top
J1,S1,GND,7.68,2.265,Top
J1,S1,GND,7.68,6.445,Top
J1,S1,GND,16.32,2.265,Top
J1,S1,GND,16.32,6.445,Top
J2,1,CELL_PLUS,12.48,43.05,Top
J2,2,BAT_NEG,8.52,43.05,Top
J3,1,MCU_5V,39.25,44.525,Top
J3,2,GND,36.75,44.525,Top
J3,3,LOGIC_3V3,34.25,44.525,Top
J3,4,ACT_3V2,31.75,44.525,Top
J4,1,NTC,23.0,44.55,Top
J4,2,GND,21.0,44.55,Top
