Quantity,References,MPN,Value,Footprint,Datasheet
6,"C1, C3, C5, C13, C17, C25",UVR1C101MDD,100u,KK_Main:Nichicon_UVR_D5_P2,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf
12,"C2, C4, C6, C7, C8, C10, C12, C14, C16, C23, C24, C26",C315C104K5R5TA,100n,KK_Main:KEMET_C315_P2p54,https://yageogroup.com/download/specsheet/C315C104K5R5TA
4,"C9, C11, C15, C21",UVR1C100MDD,10u,KK_Main:Nichicon_UVR_D5_P2,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf
3,"C18, C19, C22",C315C103J1G5TA,10n,KK_Main:KEMET_C315_P2p54,https://yageogroup.com/download/specsheet/C315C103J1G5TA
1,C20,C315C105K5R5TA,1u,KK_Main:KEMET_C315_P2p54,https://yageogroup.com/download/specsheet/C315C105K5R5TA
1,D1,TSAL6200,TSAL6200,KK_Main:TSAL6200_LED5,https://www.vishay.com/docs/81010/tsal6200.pdf
1,D2,1N5819-E3/54,1N5819,KK_Main:1N5819_DO41,https://www.vishay.com/docs/88525/1n5817.pdf
1,J1,B4B-XH-A(LF)(SN),SYS_IN / JST-XH,KK_Main:JST_XH_B4B_4,https://www.jst-mfg.com/product/pdf/eng/eXH.pdf
1,J2,PPTC081LFBN-RC,XIITIA TFT header,KK_Main:Sullins_PPTC081_LFB,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf
1,J3,PPTC061LFBN-RC,GODIYMODULES SD,KK_Main:Sullins_PPTC061_LFB,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf
1,J4,S2B-PH-K-S(LF)(SN),LCM0827A3038F motor,KK_Main:JST_PH_S2B_2,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf
1,J5,S2B-PH-K-S(LF)(SN),8 ohm speaker,KK_Main:JST_PH_S2B_2,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf
1,MOD1,Teyleten B0D47HBFDY,ESP32-S3 SuperMini,KK_Main:ESP32-S3-SuperMini,https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf
2,"Q1, Q2",KSP2222ABU,KSP2222ABU,KK_Main:TO92_LeadFormed_P2p54,https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf
