"Reference","Page","Value","MPN","Datasheet","Footprint","Review"
"MOD1","KK_main_module","ESP32-S3 SuperMini","Teyleten B0D47HBFDY","https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf","","Carrier pad numbering/voltage path requires delivered-module qualification"
"J1","KK_main_module","SYS_IN / JST-XH","B4B-XH-A(LF)(SN)","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","","4-rail-interface pins include ground; future supply must sequence rails together"
"C1","KK_main_module","100u","UVR1C101MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"C2","KK_main_module","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"C3","KK_main_module","100u","UVR1C101MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"C4","KK_main_module","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"C5","KK_main_module","100u","UVR1C101MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"C6","KK_main_module","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"U1","controls","MCP23017-E/SP","MCP23017-E/SP","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf","Package_DIP:DIP-28_W7.62mm",""
"SW1","controls","UP","Adafruit 3101","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","","200 ohm maximum closed contact resistance; custom footprint pending"
"SW2","controls","DOWN","Adafruit 3101","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","","200 ohm maximum closed contact resistance; custom footprint pending"
"SW3","controls","LEFT","Adafruit 3101","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","","200 ohm maximum closed contact resistance; custom footprint pending"
"SW4","controls","RIGHT","Adafruit 3101","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","","200 ohm maximum closed contact resistance; custom footprint pending"
"SW5","controls","A","Adafruit 3101","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","","200 ohm maximum closed contact resistance; custom footprint pending"
"SW6","controls","B","Adafruit 3101","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","","200 ohm maximum closed contact resistance; custom footprint pending"
