"Reference","Pin","Net"
"MOD1","1","MCU_5V"
"MOD1","2","GND"
"MOD1","3","NC"
"MOD1","4","BUTTON_INT_N"
"MOD1","5","BUTTON_FN_N"
"MOD1","6","NC"
"MOD1","7","I2C_SDA"
"MOD1","8","I2C_SCL"
"MOD1","9","IR_RX"
"MOD1","10","IR_TX"
"MOD1","11","AUDIO_PWM"
"MOD1","12","BL_PWM"
"MOD1","13","SD_CS"
"MOD1","14","SPI_MOSI"
"MOD1","15","SPI_MISO"
"MOD1","16","SPI_SCK"
"MOD1","17","TFT_DC"
"MOD1","18","TFT_CS"
"J1","1","MCU_5V"
"J1","2","GND"
"J1","3","LOGIC_3V3"
"J1","4","ACT_3V2"
"C1","1","MCU_5V"
"C1","2","GND"
"C2","1","MCU_5V"
"C2","2","GND"
"C3","1","LOGIC_3V3"
"C3","2","GND"
"C4","1","LOGIC_3V3"
"C4","2","GND"
"C5","1","ACT_3V2"
"C5","2","GND"
"C6","1","ACT_3V2"
"C6","2","GND"
"U1","1","BTN_A_N"
"U1","2","BTN_B_N"
"U1","3","BTN_X_N"
"U1","4","BTN_Y_N"
"U1","5","AMP_EN"
"U1","6","MOTOR_EN"
"U1","7","TFT_RST_N"
"U1","8","NC"
"U1","9","LOGIC_3V3"
"U1","10","GND"
"U1","11","NC"
"U1","12","I2C_SCL"
"U1","13","I2C_SDA"
"U1","14","NC"
"U1","15","GND"
"U1","16","GND"
"U1","17","GND"
"U1","18","EXP_RESET_N"
"U1","19","NC"
"U1","20","BUTTON_INT_N"
"U1","21","BTN_UP_N"
"U1","22","BTN_DOWN_N"
"U1","23","BTN_LEFT_N"
"U1","24","BTN_RIGHT_N"
"U1","25","NC"
"U1","26","NC"
"U1","27","NC"
"U1","28","NC"
"SW1","A","BTN_UP_N"
"SW1","B","BTN_UP_N"
"SW1","C","GND"
"SW1","D","GND"
"SW2","A","BTN_DOWN_N"
"SW2","B","BTN_DOWN_N"
"SW2","C","GND"
"SW2","D","GND"
"SW3","A","BTN_LEFT_N"
"SW3","B","BTN_LEFT_N"
"SW3","C","GND"
"SW3","D","GND"
"SW4","A","BTN_RIGHT_N"
"SW4","B","BTN_RIGHT_N"
"SW4","C","GND"
"SW4","D","GND"
"SW5","A","BTN_A_N"
"SW5","B","BTN_A_N"
"SW5","C","GND"
"SW5","D","GND"
"SW6","A","BTN_B_N"
"SW6","B","BTN_B_N"
"SW6","C","GND"
"SW6","D","GND"
"SW7","A","BTN_X_N"
"SW7","B","BTN_X_N"
"SW7","C","GND"
"SW7","D","GND"
"SW8","A","BTN_Y_N"
"SW8","B","BTN_Y_N"
"SW8","C","GND"
"SW8","D","GND"
"SW9","A","BUTTON_FN_N"
"SW9","B","BUTTON_FN_N"
"SW9","C","GND"
"SW9","D","GND"
"R1","1","LOGIC_3V3"
"R1","2","I2C_SDA"
"R2","1","LOGIC_3V3"
"R2","2","I2C_SCL"
"R3","1","LOGIC_3V3"
"R3","2","BUTTON_INT_N"
"R4","1","LOGIC_3V3"
"R4","2","EXP_RESET_N"
"C7","1","EXP_RESET_N"
"C7","2","GND"
"C8","1","LOGIC_3V3"
"C8","2","GND"
"C9","1","LOGIC_3V3"
"C9","2","GND"
"R5","1","LOGIC_3V3"
"R5","2","BTN_UP_N"
"R6","1","LOGIC_3V3"
"R6","2","BTN_DOWN_N"
"R7","1","LOGIC_3V3"
"R7","2","BTN_LEFT_N"
"R8","1","LOGIC_3V3"
"R8","2","BTN_RIGHT_N"
"R9","1","LOGIC_3V3"
"R9","2","BTN_A_N"
"R10","1","LOGIC_3V3"
"R10","2","BTN_B_N"
"R11","1","LOGIC_3V3"
"R11","2","BTN_X_N"
"R12","1","LOGIC_3V3"
"R12","2","BTN_Y_N"
"R13","1","LOGIC_3V3"
"R13","2","BUTTON_FN_N"
"J2","1","GND"
"J2","2","LOGIC_3V3"
"J2","3","SPI_SCK"
"J2","4","SPI_MOSI"
"J2","5","TFT_RST_N"
"J2","6","TFT_DC"
"J2","7","TFT_CS"
"J2","8","BLK"
"J3","1","LOGIC_3V3"
"J3","2","SD_CS"
"J3","3","SPI_MOSI"
"J3","4","SPI_SCK"
"J3","5","SPI_MISO"
"J3","6","GND"
"Q2","1","GND"
"Q2","2","BL_BASE"
"Q2","3","BL_SINK"
"Q3","1","BL_SUPPLY"
"Q3","2","BL_PNP_BASE"
"Q3","3","LOGIC_3V3"
"R14","1","LOGIC_3V3"
"R14","2","TFT_CS"
"R15","1","LOGIC_3V3"
"R15","2","SD_CS"
"R16","1","LOGIC_3V3"
"R16","2","TFT_RST_N"
"R17","1","LOGIC_3V3"
"R17","2","SPI_MOSI"
"R18","1","LOGIC_3V3"
"R18","2","SPI_MISO"
"C10","1","LOGIC_3V3"
"C10","2","GND"
"C11","1","LOGIC_3V3"
"C11","2","GND"
"C12","1","LOGIC_3V3"
"C12","2","GND"
"C13","1","LOGIC_3V3"
"C13","2","GND"
"R19","1","BL_PWM"
"R19","2","BL_BASE"
"R20","1","BL_BASE"
"R20","2","GND"
"R21","1","BL_PNP_BASE"
"R21","2","BL_SINK"
"R22","1","LOGIC_3V3"
"R22","2","BL_PNP_BASE"
"R23","1","BL_SUPPLY"
"R23","2","BLK"
"D1","1","IR_LED_K"
"D1","2","IR_LED_A"
"Q1","1","GND"
"Q1","2","IR_BASE"
"Q1","3","IR_LED_K"
"U2","1","IR_RX"
"U2","2","GND"
"U2","3","IR_RX_3V3"
"Q4","1","GND"
"Q4","2","MOTOR_GATE"
"Q4","3","MOTOR_RETURN"
"J4","1","ACT_3V2"
"J4","2","MOTOR_RETURN"
"D2","1","ACT_3V2"
"D2","2","MOTOR_RETURN"
"R24","1","LOGIC_3V3"
"R24","2","IR_LED_A"
"R25","1","IR_TX"
"R25","2","IR_BASE"
"R26","1","IR_BASE"
"R26","2","GND"
"R27","1","LOGIC_3V3"
"R27","2","IR_RX_3V3"
"C14","1","IR_RX_3V3"
"C14","2","GND"
"C15","1","IR_RX_3V3"
"C15","2","GND"
"R28","1","MOTOR_EN"
"R28","2","MOTOR_GATE"
"R29","1","MOTOR_GATE"
"R29","2","GND"
"C16","1","ACT_3V2"
"C16","2","MOTOR_RETURN"
"C17","1","ACT_3V2"
"C17","2","GND"
"U3","1","SPK_P"
"U3","2","AMP_VCC"
"U3","3","SPK_N"
"U3","4","GND"
"U3","5","AMP_NP2"
"U3","6","GND"
"U3","7","AMP_IN"
"U3","8","AMP_NP1"
"J5","1","SPK_P"
"J5","2","SPK_N"
"Q5","1","GND"
"Q5","2","AMP_BASE"
"Q5","3","AMP_SINK"
"Q6","1","AMP_VCC"
"Q6","2","AMP_PNP_BASE"
"Q6","3","ACT_3V2"
"R30","1","AUDIO_PWM"
"R30","2","AUDIO_LP1"
"C18","1","AUDIO_LP1"
"C18","2","GND"
"R31","1","AUDIO_LP1"
"R31","2","AUDIO_LP2"
"C19","1","AUDIO_LP2"
"C19","2","GND"
"C20","1","AUDIO_LP2"
"C20","2","AUDIO_AC"
"R32","1","AUDIO_AC"
"R32","2","AMP_IN"
"R33","1","AMP_IN"
"R33","2","GND"
"C21","1","AMP_NP1"
"C21","2","AMP_NP2"
"C22","1","AMP_NP2"
"C22","2","GND"
"C23","1","SPK_P"
"C23","2","ZOBEL_P"
"R34","1","ZOBEL_P"
"R34","2","GND"
"C24","1","SPK_N"
"C24","2","ZOBEL_N"
"R35","1","ZOBEL_N"
"R35","2","GND"
"C25","1","AMP_VCC"
"C25","2","GND"
"C26","1","AMP_VCC"
"C26","2","GND"
"R36","1","AMP_EN"
"R36","2","AMP_BASE"
"R37","1","AMP_BASE"
"R37","2","GND"
"R38","1","AMP_PNP_BASE"
"R38","2","AMP_SINK"
"R39","1","ACT_3V2"
"R39","2","AMP_PNP_BASE"
"#FLG00","1","MCU_5V"
"#FLG01","1","LOGIC_3V3"
"#FLG02","1","ACT_3V2"
"#FLG03","1","GND"
"#FLG04","1","IR_RX_3V3"
"#FLG05","1","AMP_VCC"
