"References","Value","MPN","Quantity","Datasheet","Review"
"C1,C3,C5,C13,C17,C25","100u","UVR1C101MDD","6","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf",""
"C2,C4,C6-C8,C10,C12,C14,C16,C23,C24,C26","100n","C315C104K5R5TA","12","https://yageogroup.com/download/specsheet/C315C104K5R5TA","Suppression physically close to motor leads"
"C9,C11,C15,C21","10u","UVR1C100MDD","4","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf",""
"C18,C19,C22","10n","C315C103J1G5TA","3","https://yageogroup.com/download/specsheet/C315C103J1G5TA",""
"C20","1u","C315C105K5R5TA","1","https://yageogroup.com/download/specsheet/C315C105K5R5TA",""
"D1","TSAL6200","TSAL6200","1","https://www.vishay.com/docs/81010/tsal6200.pdf",""
"D2","1N5819","1N5819-E3/54","1","https://www.vishay.com/docs/88525/1n5817.pdf",""
"J1","SYS_IN / JST-XH","B4B-XH-A(LF)(SN)","1","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","4-rail-interface pins include ground; future supply must sequence rails together"
"J2","XIITIA TFT header","PPTC081LFBN-RC","1","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf","Display module B0DFWL25RB is a separate assembly item"
"J3","GODIYMODULES SD","PPTC061LFBN-RC","1","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf","SD module B0F82XWT4F is a separate assembly item"
"J4","LCM0827A3038F motor","S2B-PH-K-S(LF)(SN)","1","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf",""
"J5","8 ohm speaker","S2B-PH-K-S(LF)(SN)","1","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf",""
"MOD1","ESP32-S3 SuperMini","Teyleten B0D47HBFDY","1","https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf","Carrier pad numbering/voltage path requires delivered-module qualification"
"Q1,Q2,Q5","KSP2222ABU","KSP2222ABU","3","https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf",""
"Q3,Q6","BC32725BU","BC32725BU","2","https://www.onsemi.com/pub/Collateral/BC327-D.PDF",""
"Q4","TN0702N3-G","TN0702N3-G","1","https://ww1.microchip.com/downloads/en/DeviceDoc/TN0702-N-Channel-Enhancement-Mode-Vertical-DMOS-FET-Data-Sheet-20005941A.pdf",""
"R1,R2,R19,R36","4.7k","MFR-25FBF52-4K7","4","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf",""
"R3-R18","10k","MFR-25FBF52-10K","16","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf",""
"R20,R22,R26,R29,R32,R37,R39","100k","MFR-25FBF52-100K","7","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf",""
"R21","220","MFR-25FBF52-220R","1","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf",""
"R23,R24,R27,R28,R38","100","MFR-25FBF52-100R","5","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Bring-up current limit; bright-screen qualification required"
"R25,R30,R31,R33","1k","MFR-25FBF52-1K","4","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Conservative fixed attenuation; prototype gain check"
"R34,R35","4.7","MFR-25FBF52-4R7","2","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf",""
"SW1","UP","Adafruit 3101","1","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","200 ohm maximum closed contact resistance; custom footprint pending"
"SW2","DOWN","Adafruit 3101","1","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","200 ohm maximum closed contact resistance; custom footprint pending"
"SW3","LEFT","Adafruit 3101","1","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","200 ohm maximum closed contact resistance; custom footprint pending"
"SW4","RIGHT","Adafruit 3101","1","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","200 ohm maximum closed contact resistance; custom footprint pending"
"SW5","A","Adafruit 3101","1","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","200 ohm maximum closed contact resistance; custom footprint pending"
"SW6","B","Adafruit 3101","1","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","200 ohm maximum closed contact resistance; custom footprint pending"
"SW7","X","Adafruit 3101","1","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","200 ohm maximum closed contact resistance; custom footprint pending"
"SW8","Y","Adafruit 3101","1","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","200 ohm maximum closed contact resistance; custom footprint pending"
"SW9","FN","Adafruit 3101","1","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","200 ohm maximum closed contact resistance; custom footprint pending"
"U1","MCP23017-E/SP","MCP23017-E/SP","1","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf",""
"U2","TSOP38238","TSOP38238","1","https://www.vishay.com/docs/82491/tsop382.pdf",""
"U3","TDA2822L-D08-T","TDA2822L-D08-T","1","https://datasheet.lcsc.com/datasheet/pdf/8599ab4088134d37b4be13f0dc390034.pdf",""
