Ref,Val,Package,PosX,PosY,Rot,Side
"J2","JST-PH-2 BATTERY","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",200.380000,-73.020000,-90.000000,bottom
"C1","10 µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",210.757500,-57.810000,0.000000,top
"C2","4.7 µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",210.757500,-61.160000,0.000000,top
"C3","4.7 µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",210.757500,-64.510000,0.000000,top
"C4","0.1 µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",210.757500,-67.860000,0.000000,top
"D1","SMAJ5.0A","D_SMA_Handsoldering",203.820000,-50.300000,180.000000,top
"J1","USB-C Power Input","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",219.980000,-78.150000,0.000000,top
"J3","SYS OUT","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",218.730000,-48.810000,180.000000,top
"J4","BAT_TEMP","PinHeader_1x02_P2.54mm_Vertical",204.250000,-68.280000,-90.000000,top
"J5","STATUS","PinHeader_1x05_P2.54mm_Vertical",201.260000,-45.960000,90.000000,top
"JP1","NO_NTC","PinHeader_1x02_P2.54mm_Vertical",204.230000,-64.670000,-90.000000,top
"LED1","LED-BLUE","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",214.710000,-70.482500,90.000000,top
"LED2","LED-RED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",218.100000,-70.482500,90.000000,top
"LED3","LED-GREEN","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",221.490000,-70.482500,90.000000,top
"Q1","FS8205","SOT95P280X145-6N",226.300000,-71.040000,0.000000,top
"R1","5.1 kΩ","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",215.940000,-65.030000,90.000000,top
"R2","5.1 kΩ","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",219.250000,-65.030000,90.000000,top
"R3","330 kΩ","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",222.560000,-65.030000,90.000000,top
"R4","110 kΩ","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",225.870000,-65.030000,90.000000,top
"R5","3.3 kΩ","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",215.940000,-59.080000,90.000000,top
"R6","47 kΩ","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",219.250000,-59.080000,90.000000,top
"R7","470 Ω","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",222.560000,-59.080000,90.000000,top
"R8","470 Ω","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",225.870000,-59.080000,90.000000,top
"R9","470 Ω","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",215.940000,-53.130000,90.000000,top
"R10","10kΩ","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",219.250000,-53.130000,90.000000,top
"R11","470 Ω","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",222.560000,-53.130000,90.000000,top
"R12","1 kΩ","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",225.870000,-53.130000,90.000000,top
"SW1","SW_SPDT","SW_SPDT_CK_JS102011SAQN",209.590000,-78.010000,0.000000,top
"U1","MCP73871-2CC","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",205.215000,-57.835000,0.000000,top
"U2","DW01A","SOT-23-6",210.812500,-52.610000,0.000000,top
