"Reference","Value","Footprint","QUANTITY","DNP"
"C1","10 µF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C2,C3","4.7 µF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"C4","0.1 µF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"D1","SMAJ5.0A","Diode_SMD:D_SMA_Handsoldering","1",""
"J1","USB-C Power Input","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","1",""
"J2","JST-PH-2 BATTERY","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1",""
"J3","SYS OUT","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1",""
"J4","BAT_TEMP","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J5","STATUS","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"JP1","NO_NTC","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"LED1","LED-BLUE","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"LED2","LED-RED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"LED3","LED-GREEN","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"Q1","FS8205","FS8205:SOT95P280X145-6N","1",""
"R1,R2","5.1 kΩ","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R3","330 kΩ","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R4","110 kΩ","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R5","3.3 kΩ","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R6","47 kΩ","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R7-R9,R11","470 Ω","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4",""
"R10","10kΩ","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R12","1 kΩ","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"SW1","SW_SPDT","Button_Switch_SMD:SW_SPDT_CK_JS102011SAQN","1",""
"U1","MCP73871-2CC","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","1",""
"U2","DW01A","Package_TO_SOT_SMD:SOT-23-6","1",""
