Reference,Pad,CAD X mm,CAD Y mm (down-positive),Drill mm,Process
U11,4,43.6,36.7,0.2,Filled capped planarized; assembler to check all overlaps
R2,1,14.3,9.2,0.2,Filled capped planarized; assembler to check all overlaps
U7,11,37.6,23.0,0.2,Filled capped planarized; assembler to check all overlaps
U7,11,38.4,23.0,0.2,Filled capped planarized; assembler to check all overlaps
R14,2,37.8,5.7,0.2,Filled capped planarized; assembler to check all overlaps
Q1,1,4.545,34.55,0.2,Filled capped planarized; assembler to check all overlaps
Q1,1,3.945,34.55,0.2,Filled capped planarized; assembler to check all overlaps
Q1,3,3.945,36.45,0.2,Filled capped planarized; assembler to check all overlaps
Q1,3,4.545,36.45,0.2,Filled capped planarized; assembler to check all overlaps
F1,1,11.65,30.2,0.3,Filled capped planarized; assembler to check all overlaps
F1,1,11.049999,30.8,0.3,Filled capped planarized; assembler to check all overlaps
F1,1,11.65,30.8,0.3,Filled capped planarized; assembler to check all overlaps
F1,1,11.049999,30.2,0.3,Filled capped planarized; assembler to check all overlaps
F1,2,14.45,30.8,0.3,Filled capped planarized; assembler to check all overlaps
F1,2,13.85,30.2,0.3,Filled capped planarized; assembler to check all overlaps
F1,2,13.85,30.8,0.3,Filled capped planarized; assembler to check all overlaps
F1,2,14.45,30.2,0.3,Filled capped planarized; assembler to check all overlaps
R1,2,15.5,11.1,0.2,Filled capped planarized; assembler to check all overlaps
R70,1,19.2,11.4,0.2,Filled capped planarized; assembler to check all overlaps
C71,2,25.999999,11.2,0.2,Filled capped planarized; assembler to check all overlaps
Q5,1,39.3,5.2,0.2,Filled capped planarized; assembler to check all overlaps
Q2,1,8.944999,34.55,0.2,Filled capped planarized; assembler to check all overlaps
Q2,1,9.545,34.55,0.2,Filled capped planarized; assembler to check all overlaps
Q2,3,8.944999,36.45,0.2,Filled capped planarized; assembler to check all overlaps
Q2,3,9.545,36.45,0.2,Filled capped planarized; assembler to check all overlaps
U9,1,25.9,32.1,0.2,Filled capped planarized; assembler to check all overlaps
U9,5,28.2,33.2,0.2,Filled capped planarized; assembler to check all overlaps
C40,1,34.2,22.9,0.2,Filled capped planarized; assembler to check all overlaps
C4,1,24.8,9.45,0.2,Filled capped planarized; assembler to check all overlaps
C4,1,24.2,9.45,0.2,Filled capped planarized; assembler to check all overlaps
R62,2,37.599999,30.999999,0.2,Filled capped planarized; assembler to check all overlaps
C52,1,26.1,37.4,0.2,Filled capped planarized; assembler to check all overlaps
R66,2,37.325,29.2,0.2,Filled capped planarized; assembler to check all overlaps
U4,9,36.0,11.0,0.2,Filled capped planarized; assembler to check all overlaps
C5,1,31.2,7.95,0.2,Filled capped planarized; assembler to check all overlaps
C5,1,31.8,7.95,0.2,Filled capped planarized; assembler to check all overlaps
Q3,1,14.545,34.55,0.2,Filled capped planarized; assembler to check all overlaps
Q3,1,13.944999,34.55,0.2,Filled capped planarized; assembler to check all overlaps
Q3,3,14.545,36.45,0.2,Filled capped planarized; assembler to check all overlaps
Q3,3,13.944999,36.45,0.2,Filled capped planarized; assembler to check all overlaps
U5,3,6.6,23.1,0.2,Filled capped planarized; assembler to check all overlaps
U5,11,7.6,23.0,0.2,Filled capped planarized; assembler to check all overlaps
U5,11,8.4,23.0,0.2,Filled capped planarized; assembler to check all overlaps
U8,2,20.999999,32.899999,0.2,Filled capped planarized; assembler to check all overlaps
U2,2,7.0,31.3,0.2,Filled capped planarized; assembler to check all overlaps
C3,1,27.75,3.5,0.2,Filled capped planarized; assembler to check all overlaps
C3,1,28.35,3.5,0.2,Filled capped planarized; assembler to check all overlaps
C3,2,29.799999,4.099999,0.2,Filled capped planarized; assembler to check all overlaps
U6,3,21.4,23.1,0.2,Filled capped planarized; assembler to check all overlaps
U6,11,23.4,23.0,0.2,Filled capped planarized; assembler to check all overlaps
U6,11,22.6,23.0,0.2,Filled capped planarized; assembler to check all overlaps
D1,1,3.25,13.0,0.3,Filled capped planarized; assembler to check all overlaps
D1,1,4.25,13.0,0.3,Filled capped planarized; assembler to check all overlaps
D1,2,4.25,9.0,0.3,Filled capped planarized; assembler to check all overlaps
D1,2,3.25,9.0,0.3,Filled capped planarized; assembler to check all overlaps
U14,3,18.4,8.1,0.2,Filled capped planarized; assembler to check all overlaps
C2,1,10.2,13.2,0.2,Filled capped planarized; assembler to check all overlaps
C2,1,10.1,13.7,0.2,Filled capped planarized; assembler to check all overlaps
C2,2,12.099999,13.299999,0.2,Filled capped planarized; assembler to check all overlaps
U1,12,29.4,6.2,0.2,Filled capped planarized; assembler to check all overlaps
U1,17,27.6,7.0,0.2,Filled capped planarized; assembler to check all overlaps
U1,17,28.4,7.0,0.2,Filled capped planarized; assembler to check all overlaps
U12,21,41.6,30.2,0.2,Filled capped planarized; assembler to check all overlaps
U12,21,40.4,31.4,0.2,Filled capped planarized; assembler to check all overlaps
U12,21,40.4,30.2,0.2,Filled capped planarized; assembler to check all overlaps
U12,21,41.6,31.4,0.2,Filled capped planarized; assembler to check all overlaps
R52,1,22.6,37.0,0.2,Filled capped planarized; assembler to check all overlaps
C1,2,17.299999,9.599999,0.2,Filled capped planarized; assembler to check all overlaps
R74,2,35.0,2.3,0.2,Filled capped planarized; assembler to check all overlaps
R10,1,34.6,14.1,0.2,Filled capped planarized; assembler to check all overlaps
