Reference,Value,MPN,Footprint,CAD X mm,CAD Y mm (down-positive),KiCad rotation degrees,Side,Assembly,Datasheet,Notes
C1,100u,ECEA1CKA101,KK_Main:KA_100u_Flat,56.25,94.55,0.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C10,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,72.27,52.0,180.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C11,10u,ECEA1CKA100,KK_Main:KA_10u_Flat,76.95,56.73,-90.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C12,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,29.23,39.5,0.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C13,100u,ECEA1CKA101,KK_Main:KA_100u_Flat,19.05,60.75,90.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C14,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,33.23,7.5,0.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C15,10u,ECEA1CKA100,KK_Main:KA_10u_Flat,32.27,11.45,180.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C16,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,16.73,95.0,0.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,Suppression physically close to motor leads
C17,100u,ECEA1CKA101,KK_Main:KA_100u_Flat,28.25,100.55,0.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C18,10n,C315C103J1G5TA,KK_Main:KEMET_C315_P2p54,61.5,48.77,90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C103J1G5TA,
C19,10n,C315C103J1G5TA,KK_Main:KEMET_C315_P2p54,55.5,63.77,90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C103J1G5TA,
C2,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,63.5,90.27,90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C20,1u,C315C105K5R5TA,KK_Main:KEMET_C315_P2p54,48.0,69.27,90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C105K5R5TA,
C21,10u,ECEA1CKA100,KK_Main:KA_10u_Flat,57.77,46.95,180.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C22,10n,C315C103J1G5TA,KK_Main:KEMET_C315_P2p54,55.23,43.0,0.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C103J1G5TA,
C23,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,44.0,54.23,-90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C24,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,40.5,41.77,90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C25,100u,ECEA1CKA101,KK_Main:KA_100u_Flat,39.25,50.45,180.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C26,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,40.5,47.27,90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C27,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,85.23,9.5,0.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,C.5 local U4 bypass.
C3,100u,ECEA1CKA101,KK_Main:KA_100u_Flat,65.45,98.25,-90.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C4,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,63.23,93.5,0.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
