Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",17.500000,-10.500000,90.000000,top
"C2","100n","C_0603_1608Metric",11.000000,-13.500000,0.000000,top
"C3","4.7u","C_0805_2012Metric",29.000000,-3.500000,0.000000,top
"C4","10u","C_0805_2012Metric",24.500000,-8.500000,90.000000,top
"C5","22u","C_0805_2012Metric",31.500000,-7.000000,90.000000,top
"C6","100n","C_0603_1608Metric",12.000000,-32.750000,0.000000,top
"C7","10n","C_0603_1608Metric",33.500000,-10.000000,90.000000,top
"C8","22u","C_0805_2012Metric",38.750000,-10.250000,90.000000,top
"C9","100n","C_0603_1608Metric",32.750000,-12.500000,0.000000,top
"C20","10u","C_0805_2012Metric",3.750000,-22.500000,180.000000,top
"C21","10u","C_0805_2012Metric",3.750000,-20.000000,180.000000,top
"C22","22u","C_0805_2012Metric",11.400000,-20.500000,90.000000,top
"C23","22u","C_0805_2012Metric",13.600000,-20.500000,90.000000,top
"C24","22u","C_0805_2012Metric",15.800000,-20.500000,90.000000,top
"C25","100n","C_0603_1608Metric",8.000000,-26.500000,180.000000,top
"C28","10p","C_0603_1608Metric",11.500000,-25.000000,-90.000000,top
"C30","10u","C_0805_2012Metric",18.750000,-22.500000,180.000000,top
"C31","10u","C_0805_2012Metric",18.750000,-20.000000,180.000000,top
"C32","22u","C_0805_2012Metric",26.400000,-20.500000,90.000000,top
"C33","22u","C_0805_2012Metric",28.600000,-20.500000,90.000000,top
"C34","22u","C_0805_2012Metric",30.800000,-20.500000,90.000000,top
"C35","100n","C_0603_1608Metric",23.000000,-26.500000,180.000000,top
"C38","10p","C_0603_1608Metric",26.500000,-25.000000,-90.000000,top
"C40","10u","C_0805_2012Metric",33.750000,-22.500000,180.000000,top
"C41","10u","C_0805_2012Metric",33.750000,-20.000000,180.000000,top
"C42","22u","C_0805_2012Metric",41.400000,-20.500000,90.000000,top
"C43","22u","C_0805_2012Metric",43.600000,-20.500000,90.000000,top
"C44","22u","C_0805_2012Metric",45.800000,-20.500000,90.000000,top
"C45","100n","C_0603_1608Metric",38.000000,-26.500000,180.000000,top
"C48","10p","C_0603_1608Metric",41.500000,-25.000000,-90.000000,top
"C51","100n","C_0603_1608Metric",27.000000,-36.000000,0.000000,top
"C52","10n","C_0603_1608Metric",27.000000,-37.750000,0.000000,top
"C53","10n","C_0603_1608Metric",24.500000,-36.500000,90.000000,top
"C54","10n","C_0603_1608Metric",29.500000,-36.500000,90.000000,top
"C60","100n","C_0603_1608Metric",44.750000,-30.000000,90.000000,top
"C70","100n","C_0603_1608Metric",22.500000,-10.500000,90.000000,top
"C71","1u","C_0603_1608Metric",25.000000,-11.250000,0.000000,top
"C72","1u","C_0603_1608Metric",20.000000,-9.750000,0.000000,top
"D1","SMAJ5.0A","D_SMA",3.750000,-11.000000,90.000000,top
"F1","4A FAST","Fuse_1206_3216Metric",12.750000,-30.500000,0.000000,top
"J1","USB-C CHARGE ONLY","USB_C_HCTL",12.000000,-3.340000,180.000000,top
"J2","1S CELL / VH","JST_VH_B2P-VH_1x02_P3.96mm_Vertical",12.480000,-43.050000,180.000000,top
"J3","C.5 SYS_IN / XH","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",39.250000,-44.525000,180.000000,top
"J4","BATTERY NTC","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",23.000000,-44.550000,180.000000,top
"L1","1uH","L_Coilcraft_XxL4020",8.000000,-18.250000,0.000000,top
"L2","1uH","L_Coilcraft_XxL4020",23.000000,-18.250000,0.000000,top
"L3","1uH","L_Coilcraft_XxL4020",38.000000,-18.250000,0.000000,top
"LED1","POWER GOOD","LED_1206_3216Metric",34.000000,-5.750000,90.000000,top
"LED2","CHARGING","LED_1206_3216Metric",24.750000,-13.500000,0.000000,top
"Q1","FS8205","FS8205",5.500000,-35.500000,0.000000,top
"Q2","FS8205","FS8205",10.500000,-35.500000,0.000000,top
"Q3","FS8205","FS8205",15.500000,-35.500000,0.000000,top
"Q4","AO3400A","SOT-23",7.500000,-11.000000,90.000000,top
"Q5","AO3400A","SOT-23",40.500000,-3.750000,90.000000,top
"R1","887k","R_0603_1608Metric",15.000000,-11.000000,0.000000,top
"R2","4.7k","R_0603_1608Metric",15.000000,-9.250000,0.000000,top
"R3","10k","R_0603_1608Metric",15.000000,-12.750000,0.000000,top
"R4","2.94k","R_0603_1608Metric",29.000000,-10.250000,0.000000,top
"R5","1.3k","R_0603_1608Metric",29.000000,-12.000000,0.000000,top
"R6","4.7k","R_0603_1608Metric",29.000000,-13.750000,0.000000,top
"R7","4.7k","R_0603_1608Metric",31.750000,-3.500000,90.000000,top
"R8","470","R_0603_1608Metric",15.250000,-32.750000,0.000000,top
"R9","1k","R_0603_1608Metric",16.250000,-30.250000,90.000000,top
"R10","182k","R_0603_1608Metric",35.500000,-14.250000,0.000000,top
"R11","100k","R_0603_1608Metric",36.750000,-8.000000,90.000000,top
"R12","620","R_0603_1608Metric",39.250000,-7.500000,0.000000,top
"R13","100k","R_0603_1608Metric",32.250000,-14.250000,0.000000,top
"R14","10k","R_0603_1608Metric",37.000000,-5.500000,0.000000,top
"R20","909k","R_0603_1608Metric",13.300000,-25.000000,90.000000,top
"R21","101k","R_0603_1608Metric",15.100000,-25.000000,-90.000000,top
"R30","560k","R_0603_1608Metric",28.300000,-25.000000,90.000000,top
"R31","100k","R_0603_1608Metric",30.100000,-25.000000,-90.000000,top
"R40","270k","R_0603_1608Metric",43.300000,-25.000000,90.000000,top
"R41","100k","R_0603_1608Metric",45.100000,-25.000000,-90.000000,top
"R43","270k","R_0603_1608Metric",46.500000,-27.500000,0.000000,top
"R50","470k","R_0603_1608Metric",27.000000,-39.500000,0.000000,top
"R51","100k","R_0603_1608Metric",31.250000,-36.000000,90.000000,top
"R52","100","R_0603_1608Metric",22.750000,-36.500000,90.000000,top
"R53","100","R_0603_1608Metric",23.750000,-39.000000,0.000000,top
"R54","100","R_0603_1608Metric",30.250000,-39.000000,0.000000,top
"R60","10k","R_0603_1608Metric",45.500000,-32.500000,0.000000,top
